epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,215.7,1.09668,0.70026,1.00193,0.8171,0.49939,0.58978,0.36797,1.31629,0.94383,1.15823,0.000190924,0.000190924,0.000190924
76,218.44,1.15239,0.71324,1.0011,0.78906,0.51059,0.58512,0.37544,1.28571,0.93957,1.14615,0.000183855,0.000183855,0.000183855
77,221.224,1.12399,0.70778,0.99934,0.78644,0.51232,0.58399,0.36642,1.31562,0.94846,1.15471,0.000176786,0.000176786,0.000176786
78,223.958,1.12932,0.69126,0.99299,0.78454,0.54632,0.61335,0.36962,1.3357,0.95559,1.16854,0.000169718,0.000169718,0.000169718
79,226.671,1.08863,0.68713,0.99129,0.79618,0.50364,0.58096,0.3627,1.32701,0.93049,1.16197,0.000162649,0.000162649,0.000162649
80,229.379,1.0674,0.68146,0.98895,0.83104,0.49947,0.58612,0.36198,1.30908,0.92709,1.15744,0.000155581,0.000155581,0.000155581
81,232.139,1.07978,0.67709,0.98382,0.77248,0.50632,0.5835,0.36854,1.32712,0.93184,1.16535,0.000148512,0.000148512,0.000148512
82,234.869,1.07945,0.68133,0.98913,0.77292,0.51199,0.58518,0.37696,1.32933,0.93742,1.16535,0.000141443,0.000141443,0.000141443
83,237.852,1.06855,0.67221,0.97915,0.76899,0.5081,0.58384,0.37465,1.31446,0.9088,1.15654,0.000134375,0.000134375,0.000134375
84,240.575,1.0549,0.65408,0.96954,0.84114,0.48531,0.58554,0.37797,1.28861,0.9051,1.15043,0.000127306,0.000127306,0.000127306
85,243.429,1.06518,0.66665,0.98484,0.84592,0.52691,0.61699,0.39023,1.30107,0.92804,1.1564,0.000120238,0.000120238,0.000120238
86,246.487,1.09522,0.68086,0.98796,0.81421,0.53611,0.61383,0.37875,1.32191,0.94478,1.16472,0.000113169,0.000113169,0.000113169
87,249.397,1.06441,0.66327,0.97771,0.81569,0.53422,0.61812,0.37743,1.29687,0.93605,1.15563,0.0001061,0.0001061,0.0001061
88,252.257,1.06328,0.66447,0.97404,0.80788,0.53595,0.6209,0.37957,1.30695,0.94106,1.15987,9.90318e-05,9.90318e-05,9.90318e-05
89,254.959,1.07054,0.66733,0.98381,0.78044,0.54871,0.62333,0.38674,1.305,0.94231,1.15621,9.19632e-05,9.19632e-05,9.19632e-05
90,257.684,1.0453,0.65544,0.97507,0.7414,0.51467,0.58441,0.3772,1.32008,0.94907,1.16471,8.48946e-05,8.48946e-05,8.48946e-05
91,261.403,1.15483,0.72946,1.02358,0.80316,0.53067,0.61617,0.38772,1.31417,0.94817,1.16748,7.7826e-05,7.7826e-05,7.7826e-05
92,264.286,1.08287,0.68465,0.99597,0.77355,0.54432,0.61371,0.38056,1.31434,0.93842,1.1662,7.07574e-05,7.07574e-05,7.07574e-05
93,266.935,1.05226,0.66636,0.98828,0.76162,0.54942,0.61485,0.37702,1.33306,0.93785,1.1672,6.36888e-05,6.36888e-05,6.36888e-05
94,269.592,1.04452,0.65924,0.98386,0.81049,0.53878,0.61926,0.37604,1.32466,0.93077,1.15716,5.66202e-05,5.66202e-05,5.66202e-05
95,272.256,1.02041,0.64978,0.97932,0.79221,0.50533,0.58952,0.36796,1.34744,0.93881,1.16428,4.95516e-05,4.95516e-05,4.95516e-05
96,274.932,1.0116,0.64039,0.96995,0.83278,0.49683,0.59242,0.37008,1.33679,0.93376,1.16099,4.2483e-05,4.2483e-05,4.2483e-05
97,277.569,0.99666,0.63383,0.9675,0.79183,0.54955,0.62303,0.37841,1.32761,0.93702,1.16169,3.54144e-05,3.54144e-05,3.54144e-05
98,280.23,0.98399,0.62421,0.95975,0.79392,0.51061,0.59043,0.37128,1.32581,0.92815,1.1619,2.83458e-05,2.83458e-05,2.83458e-05
99,282.884,0.98653,0.6226,0.95824,0.8063,0.50502,0.5921,0.36885,1.32271,0.9239,1.16144,2.12772e-05,2.12772e-05,2.12772e-05
100,285.53,0.97959,0.62525,0.95573,0.76673,0.51606,0.59253,0.37041,1.31839,0.92416,1.16197,1.42086e-05,1.42086e-05,1.42086e-05
